고객ID,고객등급,성별,연령대,지역,가입일,최근문의일,누적문의수,마케팅수신동의,이탈위험도
CUST-10058,SILVER,여,60대 이상,경기,2020-07-16,2020-08-25,17,Y,낮음
CUST-10059,일반,남,30대,경기,2020-03-12,2021-01-16,4,N,낮음
CUST-10060,SILVER,여,30대,경기,2022-10-24,2023-03-30,8,Y,보통
CUST-10061,GOLD,남,50대,경기,2021-11-05,2022-07-25,9,N,낮음
CUST-10062,GOLD,남,40대,경기,2023-02-12,2023-09-23,10,N,낮음
CUST-10063,GOLD,여,30대,서울,2022-05-14,2022-06-29,3,Y,낮음
CUST-10064,GOLD,남,20대,경남,2021-05-09,2021-10-09,15,N,보통
CUST-10065,일반,남,40대,경기,2023-08-06,2023-11-12,2,Y,보통
CUST-10066,SILVER,여,30대,대구,2020-03-28,2020-11-10,11,Y,보통
CUST-10067,VIP,남,50대,전남,2021-10-27,2022-10-19,9,N,낮음
CUST-10068,일반,남,40대,전북,2023-05-21,2023-11-15,5,N,높음
CUST-10069,일반,남,30대,서울,2021-12-05,2022-02-22,2,N,낮음
CUST-10070,일반,여,40대,경북,2022-01-13,2022-04-12,1,Y,낮음
CUST-10071,SILVER,여,20대,서울,2023-09-29,2024-03-23,4,Y,낮음
CUST-10072,SILVER,여,30대,광주,2022-05-28,2023-03-03,3,N,보통
CUST-10073,일반,남,30대,서울,2021-12-21,2022-02-28,1,Y,보통
CUST-10074,SILVER,남,40대,제주,2021-04-30,2022-02-28,8,N,보통
CUST-10075,GOLD,여,60대 이상,광주,2023-09-27,2023-12-03,16,Y,낮음
CUST-10076,일반,여,40대,서울,2020-10-18,2021-02-22,5,N,보통
CUST-10077,SILVER,여,20대,광주,2021-12-08,2021-12-24,8,N,낮음
CUST-10078,SILVER,남,30대,경북,2022-11-05,2022-11-25,8,N,낮음
CUST-10079,GOLD,남,20대,전남,2023-08-09,2024-02-07,1,Y,보통
CUST-10080,일반,남,20대,서울,2022-07-27,2023-04-08,3,Y,보통
CUST-10081,일반,여,30대,대구,2021-01-12,2021-03-18,1,Y,보통
CUST-10082,일반,여,50대,충북,2023-11-07,2024-03-14,2,N,낮음
CUST-10083,SILVER,남,40대,서울,2021-12-14,2022-12-07,11,N,낮음
CUST-10084,SILVER,여,60대 이상,경기,2021-02-15,2022-01-23,6,N,보통
CUST-10085,GOLD,여,60대 이상,경기,2023-12-19,2024-07-18,1,Y,낮음
CUST-10086,일반,여,20대,충남,2020-03-03,2021-02-26,1,Y,보통
CUST-10087,일반,여,30대,경기,2021-09-05,2022-01-14,1,N,보통
CUST-10088,GOLD,여,30대,경남,2020-11-14,2021-08-22,10,N,낮음
CUST-10089,일반,남,40대,서울,2020-12-29,2021-06-15,4,N,낮음
CUST-10090,일반,남,50대,경기,2022-08-14,2022-12-01,4,N,낮음
CUST-10091,일반,남,20대,제주,2021-11-03,2022-02-22,4,Y,낮음
CUST-10092,SILVER,여,60대 이상,경기,2021-05-15,2022-05-15,6,Y,보통
CUST-10093,일반,여,30대,경남,2020-06-25,2021-05-14,2,N,보통
CUST-10094,일반,여,40대,광주,2021-01-08,2021-12-09,2,N,보통
CUST-10095,일반,여,40대,대전,2023-06-29,2023-09-11,3,Y,낮음
CUST-10096,일반,여,40대,부산,2022-08-08,2022-11-10,4,N,낮음
CUST-10097,일반,남,60대 이상,충남,2020-07-19,2021-03-24,6,N,보통
CUST-10098,SILVER,여,50대,경기,2020-01-24,2020-08-07,6,Y,낮음
CUST-10099,GOLD,여,60대 이상,충북,2020-09-06,2021-06-14,13,Y,높음
CUST-10100,일반,남,50대,경기,2021-01-21,2021-03-31,5,N,낮음
CUST-10101,GOLD,남,20대,충북,2020-03-29,2020-07-10,5,Y,보통
CUST-10102,일반,여,30대,전남,2021-01-11,2021-09-05,4,N,낮음
CUST-10103,SILVER,여,20대,인천,2021-08-21,2021-08-30,2,Y,낮음
CUST-10104,일반,여,50대,전남,2021-03-13,2021-10-04,6,N,보통
CUST-10105,일반,여,50대,부산,2021-11-15,2022-10-16,5,N,높음
CUST-10106,VIP,남,30대,제주,2023-01-02,2023-11-08,36,Y,낮음
CUST-10107,일반,남,20대,경기,2022-02-03,2023-01-23,6,N,낮음
CUST-10108,일반,남,40대,경기,2021-06-27,2022-01-13,4,N,낮음
CUST-10109,일반,여,20대,서울,2020-06-10,2020-07-25,1,Y,높음
CUST-10110,SILVER,남,20대,서울,2021-10-19,2022-02-10,7,N,낮음
CUST-10111,SILVER,여,30대,경기,2023-08-26,2023-08-30,9,N,낮음
CUST-10112,GOLD,남,40대,서울,2023-12-25,2024-10-17,14,N,낮음
CUST-10113,SILVER,여,40대,인천,2020-05-02,2020-07-12,5,Y,보통
CUST-10114,SILVER,여,60대 이상,전남,2021-05-23,2021-09-30,6,Y,낮음
CUST-10115,GOLD,남,30대,경기,2023-07-28,2024-05-26,14,Y,낮음
CUST-10116,일반,여,50대,부산,2021-04-21,2021-08-09,1,N,낮음
CUST-10117,일반,여,40대,울산,2022-07-03,2022-10-28,4,N,낮음
CUST-10118,일반,남,20대,제주,2021-02-24,2021-04-17,4,N,낮음
CUST-10119,SILVER,남,10대,서울,2020-05-24,2020-07-08,5,Y,높음
CUST-10120,VIP,여,20대,경기,2021-07-05,2022-01-12,26,Y,보통
CUST-10121,SILVER,여,60대 이상,경기,2022-11-15,2023-07-11,10,N,낮음
CUST-10122,SILVER,남,40대,서울,2020-03-28,2021-02-18,1,N,낮음
CUST-10123,SILVER,여,50대,경기,2022-08-14,2022-10-10,11,Y,높음
CUST-10124,GOLD,남,20대,대구,2020-09-01,2020-12-04,18,Y,낮음
CUST-10125,일반,남,20대,부산,2021-06-26,2021-08-07,5,Y,낮음
CUST-10126,SILVER,여,40대,제주,2023-05-30,2024-01-18,9,N,높음
CUST-10127,일반,여,60대 이상,경남,2022-08-09,2023-05-12,4,Y,낮음
CUST-10128,일반,남,50대,광주,2020-08-10,2020-10-19,3,Y,낮음
CUST-10129,일반,여,50대,경기,2022-12-17,2023-02-20,1,Y,보통
CUST-10130,GOLD,남,20대,서울,2022-01-09,2022-11-12,15,N,보통
CUST-10131,일반,여,40대,부산,2023-07-14,2024-03-17,3,Y,보통
CUST-10132,일반,여,30대,대구,2021-03-05,2022-02-11,1,Y,낮음
CUST-10133,SILVER,여,30대,경기,2023-03-18,2023-05-22,13,Y,보통
CUST-10134,일반,여,30대,전북,2020-02-29,2020-11-23,4,Y,낮음
CUST-10135,SILVER,여,40대,서울,2020-09-18,2021-08-03,4,Y,낮음
CUST-10136,GOLD,남,30대,대구,2020-02-19,2020-11-08,2,N,보통
CUST-10137,일반,여,60대 이상,대구,2022-03-28,2023-01-22,1,N,낮음
CUST-10138,일반,여,30대,대전,2022-01-25,2022-05-31,3,Y,낮음
CUST-10139,GOLD,여,50대,경기,2020-11-26,2021-03-31,10,Y,낮음
CUST-10140,일반,여,50대,부산,2021-09-24,2022-01-14,1,N,낮음
CUST-10141,일반,남,20대,서울,2020-12-27,2021-04-12,3,N,낮음
CUST-10142,GOLD,여,50대,서울,2023-03-11,2023-10-16,11,Y,낮음
CUST-10143,일반,남,20대,경기,2020-10-22,2021-02-18,2,N,보통
CUST-10144,일반,여,50대,대구,2021-11-07,2022-09-04,1,Y,보통
CUST-10145,일반,여,30대,충남,2020-10-17,2021-05-14,3,N,보통
CUST-10146,일반,여,40대,인천,2020-04-04,2020-07-23,1,N,낮음
CUST-10147,SILVER,남,60대 이상,경기,2020-04-26,2021-04-07,5,N,보통
CUST-10148,GOLD,여,20대,광주,2020-06-03,2020-10-09,18,N,보통
CUST-10149,일반,남,40대,인천,2023-09-10,2024-03-11,5,N,높음
CUST-10150,GOLD,남,10대,경기,2023-02-12,2023-09-07,11,N,보통
CUST-10151,SILVER,여,30대,대구,2021-05-19,2022-01-16,1,N,낮음
CUST-10152,일반,남,50대,강원,2020-11-18,2020-12-03,4,Y,낮음
CUST-10153,일반,여,30대,전북,2021-10-12,2022-06-26,1,Y,보통
CUST-10154,GOLD,여,30대,서울,2021-08-12,2022-07-03,3,N,낮음
CUST-10155,일반,남,20대,충남,2023-04-24,2023-11-13,4,N,낮음
CUST-10156,SILVER,남,30대,서울,2022-08-31,2023-02-17,1,Y,높음
CUST-10157,일반,남,30대,충북,2022-03-14,2022-07-10,4,Y,낮음
CUST-10158,VIP,여,50대,경기,2021-07-25,2022-01-19,29,N,높음
CUST-10159,SILVER,여,20대,전남,2023-07-29,2023-08-25,8,N,높음
CUST-10160,일반,남,30대,경기,2020-09-28,2021-05-08,3,N,낮음
CUST-10161,일반,여,40대,서울,2021-04-14,2021-05-19,2,Y,낮음
CUST-10162,일반,여,10대,대전,2023-01-22,2023-07-22,2,N,낮음
CUST-10163,GOLD,남,30대,인천,2020-06-08,2020-10-12,5,N,낮음
CUST-10164,SILVER,남,20대,서울,2020-07-20,2021-03-14,15,N,낮음
CUST-10165,SILVER,여,20대,충남,2022-11-09,2023-03-22,4,N,낮음
CUST-10166,SILVER,여,50대,경북,2023-12-26,2024-09-29,2,Y,낮음
CUST-10167,GOLD,남,30대,경기,2020-03-22,2020-04-26,11,Y,낮음
CUST-10168,일반,여,20대,부산,2022-02-24,2023-02-20,4,N,보통
CUST-10169,일반,남,30대,경기,2020-09-08,2020-09-09,5,Y,보통
CUST-10170,일반,남,20대,경북,2020-09-21,2021-07-16,2,N,낮음
CUST-10171,GOLD,여,60대 이상,경기,2021-04-10,2022-04-10,10,Y,낮음
CUST-10172,VIP,여,30대,경기,2020-03-02,2020-10-09,11,Y,낮음
CUST-10173,SILVER,남,50대,서울,2023-04-03,2023-08-22,4,Y,높음
CUST-10174,GOLD,남,60대 이상,광주,2023-06-01,2024-05-14,17,Y,보통
CUST-10175,일반,남,30대,충남,2020-06-28,2021-04-29,2,N,높음
CUST-10176,SILVER,여,30대,경북,2022-07-06,2022-12-11,4,N,보통
CUST-10177,일반,남,40대,대전,2023-05-17,2024-03-24,3,Y,보통
CUST-10178,일반,여,30대,경기,2023-02-19,2023-09-22,1,N,보통
CUST-10179,SILVER,여,20대,강원,2021-08-12,2021-10-01,1,Y,낮음
CUST-10180,일반,남,30대,제주,2020-09-07,2021-04-01,2,N,보통
CUST-10181,VIP,남,10대,서울,2022-10-08,2023-08-03,1,N,낮음
CUST-10182,일반,여,40대,경기,2021-05-09,2022-04-26,2,N,높음
CUST-10183,GOLD,남,40대,서울,2020-12-19,2021-04-03,14,Y,낮음
CUST-10184,SILVER,남,30대,경기,2021-08-29,2021-12-02,9,Y,보통
CUST-10185,SILVER,남,30대,경기,2021-08-24,2022-03-20,8,Y,낮음
CUST-10186,일반,남,30대,인천,2021-11-18,2022-09-30,3,Y,낮음
CUST-10187,GOLD,여,20대,서울,2022-06-06,2023-01-31,5,N,보통
CUST-10188,SILVER,여,30대,전북,2022-06-13,2022-09-18,1,Y,보통
CUST-10189,일반,여,20대,대구,2020-12-12,2021-07-28,2,N,높음
CUST-10190,일반,남,30대,전남,2023-04-02,2023-04-06,1,N,낮음
CUST-10191,GOLD,여,50대,경기,2023-07-19,2023-10-02,6,Y,낮음
CUST-10192,일반,여,10대,서울,2022-09-18,2022-09-19,3,N,보통
CUST-10193,SILVER,남,40대,경기,2020-05-14,2020-10-27,2,N,낮음
CUST-10194,일반,여,40대,서울,2023-04-17,2023-06-18,1,Y,보통
CUST-10195,일반,여,40대,인천,2020-01-15,2020-08-31,2,N,높음
CUST-10196,GOLD,남,50대,충남,2021-07-05,2021-09-30,6,N,보통
CUST-10197,일반,남,20대,경기,2021-12-16,2022-06-01,4,N,낮음
CUST-10198,GOLD,남,50대,대구,2023-05-27,2024-03-05,19,Y,낮음
CUST-10199,GOLD,남,50대,서울,2021-09-10,2022-02-04,16,Y,낮음
CUST-10200,SILVER,남,60대 이상,부산,2021-07-14,2021-10-25,7,Y,높음
CUST-10201,GOLD,여,10대,인천,2021-09-12,2022-09-09,20,Y,낮음
CUST-10202,SILVER,남,30대,부산,2021-01-21,2021-03-21,2,Y,보통
CUST-10203,SILVER,여,20대,전남,2020-01-12,2020-03-08,3,Y,낮음
CUST-10204,일반,여,10대,경북,2022-09-08,2023-05-26,3,N,보통
CUST-10205,일반,남,10대,경기,2020-08-21,2021-07-22,2,N,낮음
CUST-10206,일반,남,30대,서울,2021-05-27,2021-12-22,3,Y,보통
CUST-10207,일반,여,30대,광주,2023-12-26,2024-04-01,2,N,낮음
CUST-10208,일반,남,60대 이상,전남,2021-05-02,2022-04-20,2,Y,낮음
CUST-10209,일반,여,20대,경기,2022-09-29,2023-09-10,2,N,낮음
CUST-10210,일반,여,20대,전남,2023-01-31,2023-06-03,4,N,낮음
CUST-10211,일반,남,40대,인천,2020-10-22,2020-12-18,2,N,낮음
CUST-10212,GOLD,여,30대,서울,2022-02-07,2022-05-24,4,Y,보통
CUST-10213,VIP,여,20대,대전,2022-07-04,2023-02-18,18,Y,보통
CUST-10214,SILVER,남,20대,서울,2021-07-17,2022-04-18,3,Y,보통
CUST-10215,SILVER,남,30대,서울,2023-08-12,2024-02-05,11,Y,보통
CUST-10216,VIP,여,20대,광주,2022-09-10,2023-07-15,23,N,낮음
CUST-10217,GOLD,여,50대,서울,2023-12-02,2024-10-28,19,Y,보통
CUST-10218,SILVER,여,10대,제주,2022-07-03,2023-04-24,6,N,낮음
CUST-10219,VIP,남,50대,부산,2022-02-04,2023-02-01,29,N,보통
CUST-10220,VIP,여,30대,전북,2021-09-27,2022-04-06,27,N,낮음
CUST-10221,GOLD,여,50대,인천,2022-06-10,2023-05-28,15,N,보통
CUST-10222,GOLD,남,60대 이상,경남,2020-03-14,2020-05-30,1,N,낮음
CUST-10223,일반,여,20대,경기,2022-04-06,2022-06-02,3,Y,낮음
CUST-10224,일반,여,30대,경기,2021-07-03,2022-05-19,5,N,보통
CUST-10225,일반,남,50대,부산,2020-09-25,2021-09-18,3,Y,보통
CUST-10226,SILVER,여,40대,인천,2022-11-24,2023-02-26,10,Y,높음
CUST-10227,SILVER,남,30대,서울,2023-02-13,2023-05-11,4,Y,보통
CUST-10228,일반,남,50대,부산,2020-03-04,2020-06-12,2,Y,높음
CUST-10229,일반,남,20대,서울,2020-04-01,2021-03-10,4,Y,보통
CUST-10230,SILVER,여,20대,서울,2022-09-09,2022-10-22,1,Y,낮음
CUST-10231,SILVER,남,50대,서울,2021-04-30,2022-04-11,12,Y,보통
CUST-10232,SILVER,여,60대 이상,전북,2020-12-27,2021-12-22,4,N,낮음
CUST-10233,일반,남,40대,경기,2023-08-19,2024-07-13,5,Y,낮음
CUST-10234,일반,여,50대,경남,2021-12-08,2022-07-09,1,Y,높음
CUST-10235,일반,남,40대,경기,2020-07-04,2020-12-23,4,N,낮음
CUST-10236,일반,남,20대,서울,2023-05-01,2024-04-06,2,Y,낮음
CUST-10237,일반,남,40대,경기,2021-04-25,2022-02-07,1,N,보통
CUST-10238,일반,여,30대,경기,2021-08-07,2022-04-18,2,N,낮음
CUST-10239,SILVER,여,50대,경남,2021-03-13,2021-07-06,5,Y,보통
CUST-10240,SILVER,남,30대,경기,2022-06-21,2022-06-26,7,Y,낮음
CUST-10241,일반,여,50대,강원,2021-06-05,2021-12-10,1,N,낮음
CUST-10242,일반,남,60대 이상,경북,2020-10-08,2021-01-16,4,N,낮음
CUST-10243,일반,여,50대,경북,2023-11-14,2024-02-02,2,N,보통
CUST-10244,일반,여,40대,경남,2022-04-20,2023-02-22,1,N,낮음
CUST-10245,일반,남,30대,대구,2022-09-23,2022-11-23,4,Y,보통
CUST-10246,SILVER,남,60대 이상,제주,2021-12-13,2022-04-14,10,Y,보통
CUST-10247,일반,여,60대 이상,충남,2021-12-11,2022-05-24,2,Y,낮음
CUST-10248,GOLD,여,20대,경기,2022-04-11,2022-09-21,10,Y,높음
CUST-10249,SILVER,남,40대,대구,2020-02-08,2020-07-08,3,Y,낮음
CUST-10250,SILVER,남,20대,경기,2021-01-09,2021-10-21,7,Y,보통
CUST-10251,일반,남,30대,경남,2022-10-09,2022-11-18,1,N,낮음
CUST-10252,일반,여,30대,경기,2023-04-14,2023-11-14,4,Y,높음
CUST-10253,일반,남,40대,경기,2023-03-08,2023-05-05,2,N,낮음
CUST-10254,SILVER,남,30대,충남,2023-09-03,2024-08-31,1,N,보통
CUST-10255,SILVER,남,30대,서울,2021-07-02,2021-11-07,8,Y,보통
CUST-10256,GOLD,여,40대,인천,2021-02-26,2021-10-20,14,N,낮음
CUST-10257,VIP,남,50대,서울,2021-02-28,2021-10-28,1,Y,높음
CUST-10258,일반,여,20대,인천,2021-09-12,2022-07-27,3,N,보통
CUST-10259,GOLD,남,40대,전북,2022-10-15,2023-09-15,15,N,낮음
CUST-10260,일반,여,40대,경북,2020-06-28,2021-06-05,2,Y,보통
CUST-10261,SILVER,여,40대,경기,2022-12-09,2023-09-15,4,N,높음
CUST-10262,일반,남,10대,서울,2020-02-29,2020-12-13,5,Y,낮음
CUST-10263,SILVER,여,40대,서울,2021-02-17,2021-09-16,3,Y,높음
CUST-10264,SILVER,여,30대,부산,2023-06-13,2024-03-16,12,N,낮음
CUST-10265,SILVER,여,30대,전북,2023-01-27,2023-06-07,3,Y,높음
CUST-10266,일반,남,40대,대구,2023-11-05,2024-06-01,4,Y,보통
CUST-10267,VIP,남,60대 이상,경기,2023-11-19,2024-09-29,38,N,낮음
CUST-10268,일반,여,30대,경남,2021-11-04,2022-05-07,1,Y,낮음
CUST-10269,GOLD,남,50대,인천,2020-07-03,2021-01-07,14,N,낮음
CUST-10270,일반,남,30대,경북,2021-08-10,2022-02-10,1,N,보통
CUST-10271,일반,남,50대,서울,2023-11-09,2024-09-28,4,Y,보통
CUST-10272,일반,여,30대,경북,2020-06-11,2020-11-08,5,Y,낮음
CUST-10273,일반,남,40대,경기,2020-07-15,2021-07-07,6,N,보통
CUST-10274,일반,여,40대,전북,2020-08-29,2021-05-18,5,N,낮음
CUST-10275,일반,남,40대,인천,2022-05-30,2022-08-21,2,Y,낮음
CUST-10276,일반,여,50대,서울,2023-08-11,2023-11-24,4,N,보통
CUST-10277,일반,남,40대,경기,2020-04-13,2020-08-04,8,Y,보통
CUST-10278,VIP,남,30대,서울,2021-01-11,2021-10-28,32,Y,낮음
CUST-10279,일반,여,40대,대구,2023-03-21,2023-03-27,7,N,보통
CUST-10280,SILVER,여,40대,대구,2020-07-11,2020-07-15,10,Y,낮음
CUST-10281,일반,여,50대,전남,2022-05-01,2022-08-30,1,N,보통
CUST-10282,SILVER,남,40대,경남,2023-11-28,2024-11-03,4,Y,낮음
CUST-10283,SILVER,여,40대,대구,2021-03-29,2021-05-03,8,Y,낮음
CUST-10284,일반,남,40대,서울,2021-03-11,2021-08-08,1,N,낮음
CUST-10285,일반,남,50대,서울,2022-06-19,2023-05-24,4,Y,보통
CUST-10286,SILVER,여,40대,서울,2023-03-27,2023-04-30,1,Y,낮음
CUST-10287,일반,남,50대,경기,2022-06-26,2023-04-19,2,Y,보통
CUST-10288,일반,남,50대,경기,2021-01-07,2021-12-11,4,N,낮음
CUST-10289,SILVER,남,30대,부산,2020-11-22,2021-06-06,1,Y,높음
CUST-10290,SILVER,남,10대,전남,2022-03-10,2022-11-08,8,Y,보통
CUST-10291,일반,남,60대 이상,경기,2023-01-04,2023-11-03,4,Y,높음
CUST-10292,GOLD,남,60대 이상,대구,2021-01-29,2021-06-16,17,Y,낮음
CUST-10293,SILVER,남,50대,울산,2022-04-25,2022-05-03,1,Y,낮음
CUST-10294,일반,여,40대,전북,2022-05-05,2022-06-22,1,Y,보통
CUST-10295,일반,여,30대,울산,2022-11-29,2023-10-25,5,N,보통
CUST-10296,일반,남,20대,충남,2020-02-08,2021-01-25,5,N,높음
CUST-10297,VIP,남,60대 이상,서울,2023-01-11,2023-07-28,9,N,보통
CUST-10298,VIP,여,60대 이상,제주,2022-01-30,2022-07-09,7,Y,높음
CUST-10299,SILVER,남,50대,경기,2021-03-16,2021-07-16,10,N,보통
CUST-10300,VIP,여,20대,서울,2022-10-21,2023-09-18,1,N,낮음
CUST-10301,GOLD,남,40대,부산,2022-11-29,2023-03-02,16,N,낮음
CUST-10302,일반,남,40대,충북,2022-09-08,2023-02-24,1,N,보통
CUST-10303,VIP,남,10대,부산,2023-11-18,2024-08-18,6,Y,낮음
CUST-10304,SILVER,남,50대,경기,2020-03-25,2020-12-15,6,Y,낮음
CUST-10305,SILVER,여,40대,대구,2021-11-26,2022-06-12,8,N,보통
CUST-10306,SILVER,여,10대,제주,2022-12-06,2023-05-18,8,N,낮음
CUST-10307,SILVER,남,50대,서울,2021-11-13,2022-10-12,6,N,보통
CUST-10308,SILVER,여,30대,경기,2022-03-06,2023-01-06,2,N,낮음
CUST-10309,일반,여,20대,서울,2021-07-14,2021-11-09,1,Y,보통
CUST-10310,GOLD,여,30대,부산,2022-03-25,2022-10-21,13,N,높음
CUST-10311,일반,남,40대,충북,2022-09-05,2023-01-04,4,Y,낮음
CUST-10312,일반,남,40대,서울,2022-04-14,2022-06-18,1,Y,낮음
CUST-10313,일반,여,40대,강원,2022-12-27,2023-10-16,1,Y,낮음
CUST-10314,일반,남,50대,대전,2023-10-03,2024-03-15,1,N,보통
CUST-10315,SILVER,남,50대,부산,2022-05-18,2022-11-10,6,Y,낮음
CUST-10316,SILVER,여,40대,강원,2020-11-15,2021-09-18,2,Y,낮음
CUST-10317,SILVER,남,40대,서울,2023-01-24,2023-03-11,5,N,낮음
CUST-10318,SILVER,남,40대,대구,2022-10-13,2023-07-30,6,Y,보통
CUST-10319,일반,여,20대,경기,2023-05-09,2024-03-14,4,Y,보통
CUST-10320,일반,여,40대,서울,2020-04-14,2020-07-30,3,Y,보통
CUST-10321,일반,여,40대,대구,2023-02-06,2023-07-27,1,N,보통
CUST-10322,GOLD,남,60대 이상,경기,2020-08-02,2020-09-27,12,N,낮음
CUST-10323,SILVER,남,40대,경기,2020-09-06,2020-10-13,7,N,낮음
CUST-10324,GOLD,여,30대,경기,2021-08-09,2022-07-21,7,N,높음
CUST-10325,일반,여,10대,서울,2020-11-16,2021-07-04,2,N,낮음
CUST-10326,일반,남,30대,서울,2021-07-28,2021-12-27,5,Y,보통
CUST-10327,GOLD,남,60대 이상,전남,2020-03-18,2021-03-08,1,N,낮음
CUST-10328,GOLD,남,30대,서울,2021-09-19,2022-03-02,25,N,낮음
CUST-10329,일반,여,30대,서울,2023-11-09,2024-09-12,5,Y,낮음
CUST-10330,일반,여,30대,경기,2020-12-14,2021-10-08,2,N,보통
CUST-10331,일반,남,50대,인천,2021-03-21,2022-03-03,6,N,낮음
CUST-10332,VIP,남,40대,경기,2022-05-06,2023-01-24,10,Y,보통
CUST-10333,일반,여,10대,부산,2022-04-20,2023-01-11,4,N,보통
CUST-10334,일반,여,30대,충남,2023-07-24,2024-03-05,1,N,높음
CUST-10335,일반,여,20대,울산,2020-03-10,2020-10-21,6,N,낮음
CUST-10336,GOLD,남,10대,강원,2023-12-13,2024-04-16,8,N,보통
